first_name,last_name,address,city,phone1,phone2,email,SKU_number,PriorityStatus,DateOfPurchase,Country
James,Butt,6649 N Blue Gum St,New Orleans,504-621-8927,504-845-1427,jbutt@gmail.com,107,3,27-07-2012,USA
Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,107,3,19-01-2012,USA
Art,Venere,8 W Cerritos Ave #54,Bridgeport,856-636-8749,856-264-4130,art@venere.org,113,3,03-02-2012,USA
Lenna,Paprocki,639 Main St,Anchorage,907-385-4412,907-921-2010,lpaprocki@hotmail.com,118,1,09-02-2012,USA
Donette,Foller,34 Center St,Hamilton,513-570-1893,513-549-4561,donette.foller@cox.net,119,2,02-03-2012,USA
Simona,Morasca,3 Mcauley Dr,Ashland,419-503-2484,419-800-6759,simona@morasca.com,109,2,19-04-2012,USA
Mitsue,Tollner,7 Eads St,Chicago,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,119,2,05-06-2012,USA
Leota,Dilliard,7 W Jackson Blvd,San Jose,408-752-3500,408-813-1105,leota@hotmail.com,117,3,27-06-2012,USA
Sage,Wieser,5 Boston Ave #88,Sioux Falls,605-414-2147,605-794-4895,sage_wieser@cox.net,100,1,23-07-2012,USA
Kris,Marrier,228 Runamuck Pl #2808,Baltimore,410-655-8723,410-804-4694,kris@gmail.com,115,3,29-08-2012,USA
Minna,Amigon,2371 Jerrold Ave,Kulpsville,215-874-1229,215-422-8694,minna_amigon@yahoo.com,100,1,29-08-2012,USA
Abel,Maclead,37275 St  Rt 17m M,Middle Island,631-335-3414,631-677-3675,amaclead@gmail.com,103,3,18-09-2012,USA
Kiley,Caldarera,25 E 75th St #69,Los Angeles,310-498-5651,310-254-3084,kiley.caldarera@aol.com,109,1,11-10-2012,USA
Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,440-780-8425,440-579-7763,gruta@cox.net,109,2,01-11-2012,USA
Cammy,Albares,56 E Morehead St,Laredo,956-537-6195,956-841-7216,calbares@gmail.com,111,2,29-11-2012,USA
Mattie,Poquette,73 State Road 434 E,Phoenix,602-277-4385,602-953-6360,mattie@aol.com,117,3,26-12-2012,USA
Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,931-313-9635,931-235-7959,meaghan@hotmail.com,119,3,06-01-2012,USA
Gladys,Rim,322 New Horizon Blvd,Milwaukee,414-661-9598,414-377-2880,gladys.rim@rim.org,115,3,18-01-2012,USA
Yuki,Whobrey,1 State Route 27,Taylor,313-288-7937,313-341-4470,yuki_whobrey@aol.com,100,2,02-02-2012,USA
Fletcher,Flosi,394 Manchester Blvd,Rockford,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com,120,1,22-02-2012,USA
Bette,Nicka,6 S 33rd St,Aston,610-545-3615,610-492-4643,bette_nicka@cox.net,108,1,02-03-2012,USA
Veronika,Inouye,6 Greenleaf Ave,San Jose,408-540-1785,408-813-4592,vinouye@aol.com,101,2,09-03-2012,USA
Willard,Kolmetz,618 W Yakima Ave,Irving,972-303-9197,972-896-4882,willard@hotmail.com,105,1,23-03-2012,USA
